otu,delim
OTU4427,1
OTU4636,2
OTU299,2
OTU2753,3
OTU3894,3
OTU1382,4
OTU2777,5
OTU4344,6
OTU3592,7
OTU4577,8
OTU1075,9
OTU2513,9
OTU1857,9
OTU211,9
OTU134,9
OTU149,9
OTU1331,9
OTU274,9
OTU2412,10
OTU1929,10
OTU2070,10
OTU1375,10
OTU2419,10
OTU4497,10
OTU2319,10
OTU1831,10
OTU651,10
OTU2259,10
OTU1821,10
OTU5006,11
OTU1376,11
OTU3028,12
OTU2872,12
OTU1744,13
OTU311,13
OTU2725,14
OTU4027,14
OTU3689,15
OTU1280,15
OTU1679,16
OTU129,17
OTU1946,17
OTU52,17
OTU138,18
OTU683,18
OTU1691,18
OTU880,18
OTU1497,18
OTU856,19
OTU358,19
OTU336,19
OTU1264,19
OTU2163,19
OTU3590,19
OTU2763,20
OTU348,20
OTU2106,20
OTU2529,21
OTU3502,21
OTU1055,21
OTU3190,22
OTU3578,22
OTU1871,22
OTU2157,23
OTU3651,24
OTU2804,24
OTU2375,24
OTU1164,24
OTU3057,24
OTU4518,24
OTU4142,25
OTU4873,26
OTU2331,27
OTU1365,27
OTU1381,27
OTU2694,27
OTU1602,27
OTU4024,28
OTU354,28
OTU64,28
OTU1600,28
OTU1254,28
OTU2935,28
OTU1031,28
OTU3082,28
OTU944,29
OTU146,29
OTU27,29
OTU121,29
OTU2631,30
OTU1504,30
OTU645,30
OTU1934,31
OTU3401,32
OTU2174,33
OTU4508,33
OTU744,34
OTU324,34
OTU1300,34
OTU1012,34
OTU160,34
OTU789,35
OTU353,36
OTU558,36
OTU195,36
OTU684,36
OTU3157,37
OTU2127,37
OTU893,37
OTU570,37
OTU2925,37
OTU2596,37
OTU4011,37
OTU1779,37
OTU5085,37
OTU3564,37
OTU1939,37
OTU5024,38
OTU2338,39
OTU4060,39
OTU281,39
OTU2479,40
OTU1134,40
OTU1256,40
OTU3072,41
OTU2942,41
OTU1353,41
OTU556,41
OTU3010,41
OTU3019,41
OTU3375,42
OTU3671,43
OTU1147,43
OTU1187,43
OTU210,43
OTU1019,43
OTU2123,43
OTU1421,43
OTU1663,43
OTU898,44
OTU2953,44
OTU3443,44
OTU718,44
OTU3601,45
OTU3602,46
OTU5192,47
OTU3946,48
OTU1092,48
OTU3495,48
OTU3167,48
OTU263,48
OTU275,48
OTU636,48
OTU2016,48
OTU778,48
OTU1574,48
OTU253,48
OTU3923,48
OTU3613,48
OTU1298,48
OTU2971,49
OTU403,49
OTU1321,50
OTU3109,50
OTU4784,50
OTU1583,50
OTU971,50
OTU3306,50
OTU2728,51
OTU3577,52
OTU465,53
OTU1155,53
OTU1440,54
OTU3415,54
OTU1475,54
OTU5300,54
OTU1005,55
OTU5247,56
OTU4205,57
OTU4915,58
OTU2206,58
OTU1770,58
OTU4457,58
OTU2946,58
OTU4781,59
OTU1473,60
OTU421,60
OTU4386,61
OTU4842,61
OTU1465,61
OTU2748,61
OTU1730,61
OTU521,61
OTU1470,61
OTU2377,61
OTU468,61
OTU994,61
OTU2293,61
OTU3474,61
OTU2263,62
OTU4828,63
OTU4266,64
OTU4529,64
OTU248,65
OTU174,65
OTU1216,65
OTU280,65
OTU644,65
OTU352,65
OTU65,65
OTU92,65
OTU71,65
OTU822,66
OTU1018,67
OTU3020,67
OTU3829,67
OTU3891,67
OTU976,68
OTU4364,68
OTU952,68
OTU1060,69
OTU1150,70
OTU582,71
OTU3265,72
OTU2342,73
OTU1051,74
OTU1344,74
OTU3716,74
OTU902,74
OTU1467,74
OTU2487,74
OTU1363,74
OTU2575,74
OTU663,74
OTU141,75
OTU304,76
OTU1873,76
OTU5269,77
OTU3907,78
OTU2168,78
OTU3901,78
OTU1530,78
OTU5270,78
OTU2967,78
OTU4622,79
OTU3210,79
OTU1877,80
OTU1242,81
OTU2178,81
OTU1633,81
OTU3521,81
OTU241,82
OTU1192,82
OTU1289,83
OTU2707,84
OTU4521,84
OTU3619,84
OTU270,84
OTU640,84
OTU4971,85
OTU4206,85
OTU3338,85
OTU1509,85
OTU4885,85
OTU3817,85
OTU3823,85
OTU4301,85
OTU4563,85
OTU2759,85
OTU1112,86
OTU2345,86
OTU1937,86
OTU1764,86
OTU1186,86
OTU1656,86
OTU1011,86
OTU226,86
OTU717,86
OTU576,86
OTU1430,87
OTU1917,87
OTU1437,87
OTU2762,87
OTU3246,87
OTU2669,87
OTU3951,87
OTU658,87
OTU3963,88
OTU3999,89
OTU2761,90
OTU4264,90
OTU3572,90
OTU3783,91
OTU3795,91
OTU4790,91
OTU4092,91
OTU1498,92
OTU61,93
OTU2483,94
OTU1417,95
OTU2226,95
OTU1080,95
OTU791,95
OTU1137,95
OTU682,95
OTU1539,95
OTU1105,95
OTU3821,95
OTU2905,95
OTU2927,96
OTU1230,96
OTU2061,96
OTU2169,96
OTU1244,96
OTU2049,96
OTU2276,96
OTU3006,96
OTU2871,96
OTU1999,96
OTU2655,96
OTU575,96
OTU4602,97
OTU2944,97
OTU2671,97
OTU4409,97
OTU3238,97
OTU259,98
OTU2183,98
OTU159,98
OTU2031,98
OTU2847,98
OTU49,98
OTU392,98
OTU2957,98
OTU3290,98
OTU4603,98
OTU806,98
OTU2882,98
OTU2601,98
OTU2506,99
OTU1041,100
OTU1354,100
OTU4235,100
OTU666,101
OTU3646,101
OTU929,101
OTU4373,101
OTU3037,101
OTU5098,101
OTU1021,101
OTU2347,101
OTU2977,101
OTU3436,101
OTU4129,101
OTU4670,101
OTU362,102
OTU1452,103
OTU1015,103
OTU1002,103
OTU1672,104
OTU1933,104
OTU749,104
OTU1541,105
OTU2702,106
OTU4361,107
OTU1384,108
OTU4119,109
OTU649,109
OTU1778,110
OTU4653,110
OTU513,110
OTU2521,110
OTU2041,110
OTU2890,110
OTU4105,111
OTU1705,111
OTU942,112
OTU3752,112
OTU3103,113
OTU4034,113
OTU2160,113
OTU909,113
OTU3351,113
OTU1460,113
OTU2022,113
OTU1253,113
OTU2334,113
OTU583,113
OTU2134,113
OTU2576,113
OTU1439,113
OTU5241,114
OTU2666,115
OTU655,115
OTU2181,115
OTU1916,115
OTU949,116
OTU365,116
OTU2876,116
OTU430,116
OTU5108,116
OTU3978,117
OTU2668,117
OTU3368,118
OTU1132,118
OTU2536,118
OTU1226,118
OTU1143,118
OTU3065,118
OTU4786,118
OTU946,118
OTU344,118
OTU1409,119
OTU833,120
OTU2249,120
OTU1447,120
OTU2409,121
OTU4527,122
OTU3164,122
OTU2611,123
OTU2551,123
OTU963,123
OTU3652,123
OTU1385,123
OTU1181,123
OTU2374,123
OTU3972,123
OTU1926,123
OTU2572,123
OTU3985,123
OTU3092,123
OTU3820,124
OTU2532,124
OTU3793,124
OTU532,125
OTU842,125
OTU4009,125
OTU3427,126
OTU2992,126
OTU2524,126
OTU4558,127
OTU1825,127
OTU1585,127
OTU3939,128
OTU1591,128
OTU1915,128
OTU2051,128
OTU1754,128
OTU798,128
OTU4236,129
OTU4561,129
OTU4260,129
OTU2817,129
OTU1833,130
OTU5078,130
OTU2472,130
OTU2738,130
OTU4559,131
OTU2223,132
OTU5058,133
OTU4167,134
OTU501,135
OTU99,135
OTU1619,135
OTU90,135
OTU1413,135
OTU1252,135
OTU687,135
OTU786,135
OTU3612,135
OTU543,135
OTU762,135
OTU329,135
OTU2220,135
OTU486,135
OTU2603,135
OTU1477,135
OTU1769,135
OTU38,135
OTU228,135
OTU51,135
OTU217,135
OTU45,135
OTU1066,135
OTU3235,135
OTU572,135
OTU545,135
OTU2598,135
OTU1359,135
OTU1214,136
OTU1050,136
OTU2323,137
OTU3189,137
OTU4843,137
OTU4357,137
OTU3535,137
OTU2721,137
OTU725,137
OTU2615,137
OTU2320,137
OTU3196,137
OTU3862,137
OTU5118,137
OTU4676,137
OTU1708,137
OTU3771,137
OTU2040,137
OTU4267,137
OTU2657,137
OTU3900,137
OTU3824,137
OTU3412,137
OTU936,137
OTU2208,137
OTU1416,137
OTU3352,137
OTU1502,138
OTU4307,139
OTU207,139
OTU1529,139
OTU4541,139
OTU272,140
OTU1083,140
OTU236,140
OTU986,140
OTU1153,141
OTU4158,141
OTU1404,141
OTU3232,142
OTU1772,142
OTU2566,142
OTU3477,142
OTU1524,142
OTU2824,142
OTU4059,142
OTU3708,143
OTU4202,143
OTU2829,143
OTU4368,144
