otu,delim
OTU36,1
OTU518,2
OTU2256,3
OTU4385,4
OTU2278,5
OTU2616,6
OTU119,7
OTU395,8
OTU4216,9
OTU2161,10
OTU2818,10
OTU710,10
OTU3075,10
OTU1095,10
OTU1480,10
OTU2531,10
OTU2727,10
OTU853,10
OTU1082,11
OTU1806,12
OTU5065,12
OTU3180,13
OTU1261,14
OTU1805,14
OTU22,15
OTU593,16
OTU4095,17
OTU3472,18
OTU5155,18
OTU792,19
OTU3984,20
OTU4719,21
OTU1521,22
OTU229,22
OTU1070,22
OTU1091,22
OTU1097,22
OTU279,22
OTU2282,23
OTU1003,23
OTU3735,24
OTU5111,25
OTU475,26
OTU767,26
OTU120,26
OTU60,26
OTU1868,26
OTU629,26
OTU2602,26
OTU4404,27
OTU1494,27
OTU2143,27
OTU4110,27
OTU2441,27
OTU3399,27
OTU78,28
OTU4428,29
OTU1797,30
OTU571,31
OTU2380,32
OTU2687,33
OTU2196,34
OTU2360,34
OTU1500,35
OTU2488,36
OTU2729,36
OTU3987,37
OTU292,37
OTU113,37
OTU10,37
OTU4214,37
OTU185,37
OTU26,37
OTU9,37
OTU4693,37
OTU2810,37
OTU188,37
OTU4212,37
OTU2495,37
OTU2456,37
OTU2909,37
OTU4538,37
OTU4760,37
OTU4164,37
OTU3678,37
OTU2464,37
OTU3392,37
OTU3140,37
OTU3895,37
OTU1397,37
OTU2112,37
OTU3754,38
OTU2715,39
OTU4498,40
OTU4157,40
OTU3686,41
OTU3358,41
OTU2675,41
OTU2954,41
OTU4203,42
OTU2914,42
OTU3983,42
OTU3776,42
OTU5011,42
OTU854,42
OTU2919,42
OTU3927,43
OTU4372,44
OTU3581,44
OTU2104,44
OTU3942,44
OTU3657,44
OTU1625,44
OTU3567,45
OTU2401,46
OTU4030,47
OTU4554,48
OTU1484,49
OTU3456,50
OTU5150,51
OTU3268,52
OTU3304,52
OTU2481,53
OTU1016,54
OTU199,54
OTU372,54
OTU262,54
OTU643,54
OTU110,54
OTU67,54
OTU484,54
OTU189,55
OTU4888,56
OTU4917,57
OTU3868,58
OTU4715,59
OTU3702,59
OTU3185,60
OTU3508,61
OTU3303,62
OTU3661,62
OTU153,63
OTU4398,63
OTU1073,63
OTU3778,63
OTU4506,63
OTU3583,64
OTU4944,65
OTU3197,66
OTU4724,66
OTU5158,66
OTU3534,67
OTU5191,67
OTU2856,68
OTU1089,69
OTU1714,70
OTU4115,71
OTU3123,72
OTU4754,72
OTU2308,72
OTU4814,72
OTU2299,73
OTU1687,74
OTU2468,74
OTU2271,74
OTU688,74
OTU1099,74
OTU939,74
OTU1771,75
OTU1601,76
OTU3256,77
OTU1742,77
OTU4197,78
OTU4977,78
OTU3481,78
OTU3924,79
OTU609,79
OTU266,79
OTU5129,80
OTU3441,81
OTU3956,82
OTU5235,83
OTU5258,84
OTU4284,84
OTU1759,84
OTU3469,84
OTU4360,84
OTU2996,84
OTU3962,84
OTU3499,85
OTU5307,86
OTU4180,87
OTU3639,88
OTU1616,89
OTU2447,89
OTU916,89
OTU647,89
OTU2463,90
OTU2503,90
OTU2979,90
OTU1265,90
OTU3762,91
OTU5035,91
OTU3744,91
OTU3448,92
OTU1909,92
OTU3444,92
OTU2080,92
OTU4118,92
OTU2811,92
OTU2985,92
OTU3379,92
OTU3727,92
OTU1412,93
OTU3599,94
OTU4315,95
OTU4282,95
OTU4087,95
OTU2533,96
OTU2460,97
OTU3625,98
OTU1299,99
OTU333,100
OTU3992,101
OTU2502,101
OTU4901,101
OTU5116,102
OTU2088,103
OTU3121,104
OTU3283,105
OTU3655,106
OTU2461,107
OTU2428,108
OTU4743,108
OTU1267,109
OTU985,110
OTU2313,110
OTU4818,110
OTU3069,110
OTU4006,110
OTU2321,111
OTU2110,112
OTU1263,113
OTU1196,114
OTU3141,115
OTU5240,115
OTU3154,115
OTU2330,115
OTU3471,116
