otu,delim
OTU1057,1
OTU4905,2
OTU303,3
OTU2851,4
OTU3294,5
OTU4222,6
OTU2926,6
OTU782,6
OTU3186,6
OTU3679,7
OTU3506,8
OTU3171,9
OTU785,10
OTU3396,11
OTU1346,12
OTU2385,13
OTU1380,14
OTU305,15
OTU3850,15
OTU3886,16
OTU1644,17
OTU1560,18
OTU250,19
OTU1304,19
OTU1260,19
OTU5090,19
OTU505,19
OTU3503,19
OTU360,19
OTU4925,20
OTU4280,21
OTU783,22
OTU3421,23
OTU3008,23
OTU4084,24
OTU2078,25
OTU1446,26
OTU4394,27
OTU1238,28
OTU1903,29
OTU4988,30
OTU2560,30
OTU28,30
OTU2310,30
OTU85,30
OTU3163,30
OTU625,30
OTU3658,31
OTU50,32
OTU3490,32
OTU2458,33
OTU4984,34
OTU1519,35
OTU2880,36
OTU3494,36
OTU915,37
OTU1108,38
OTU1839,39
OTU2830,40
OTU2329,40
OTU2207,40
OTU2064,40
OTU2899,40
OTU3202,40
OTU2148,40
OTU1701,40
OTU2710,40
OTU1693,40
OTU927,40
OTU1445,40
OTU2797,40
OTU1975,40
OTU2730,40
OTU1279,40
OTU2124,40
OTU1643,40
OTU4047,40
OTU4717,40
OTU1462,40
OTU1636,40
OTU1028,40
OTU2860,40
OTU1065,40
OTU2079,40
OTU923,40
OTU1569,40
OTU510,40
OTU1276,40
OTU1696,40
OTU4668,40
OTU4023,40
OTU3084,40
OTU2433,40
OTU1525,40
OTU3631,40
OTU539,40
OTU3234,40
OTU2426,40
OTU2138,40
OTU4865,41
OTU5039,41
OTU2808,42
OTU931,43
OTU1875,43
OTU3175,43
OTU4882,43
OTU598,43
OTU3563,43
OTU5103,43
OTU1156,43
OTU4183,43
OTU5162,43
OTU5120,44
OTU1746,45
OTU3723,46
OTU3201,46
OTU2732,46
OTU4295,47
OTU441,48
OTU908,49
OTU1314,50
OTU316,50
OTU1808,51
OTU5170,51
OTU2554,51
OTU1895,51
OTU1249,51
OTU641,52
OTU3323,53
OTU2214,53
OTU4849,54
OTU2045,55
OTU3688,55
OTU2757,55
OTU2571,55
OTU4965,55
OTU5225,55
OTU2600,55
OTU2540,55
OTU1210,55
OTU3217,55
OTU3250,55
OTU1727,55
OTU2302,55
OTU4065,55
OTU3249,55
OTU4560,55
OTU3831,55
OTU3847,55
OTU2584,55
OTU3833,55
OTU4054,55
OTU4667,55
OTU4837,55
