otu,delim
OTU3274,1
OTU2636,1
OTU3,1
OTU7,1
OTU922,1
OTU2739,1
OTU536,1
OTU631,1
OTU1141,1
OTU1010,1
OTU96,1
OTU1199,1
OTU4406,1
OTU6,1
OTU206,1
OTU1784,1
OTU282,1
OTU375,1
OTU864,1
OTU2145,1
OTU677,1
OTU2023,1
OTU1221,1
OTU91,1
OTU563,1
OTU541,1
OTU611,1
OTU95,1
OTU4290,1
OTU2526,1
OTU2343,1
OTU284,1
OTU306,1
OTU3442,1
OTU313,1
OTU981,1
OTU175,1
OTU1677,1
OTU2,1
OTU43,1
OTU811,1
OTU2665,1
OTU216,1
OTU437,1
OTU402,1
OTU4686,2
OTU3349,3
OTU2807,3
OTU4986,4
OTU953,4
OTU2227,4
OTU1001,4
OTU600,5
OTU1362,6
OTU3316,6
OTU3672,6
OTU1960,7
OTU1454,8
OTU912,8
OTU5082,8
OTU1843,8
OTU2462,9
OTU4546,9
OTU4643,9
OTU5134,10
OTU1826,11
OTU1160,11
OTU1369,11
OTU3191,11
OTU5262,11
OTU4137,11
OTU3822,11
OTU3968,11
OTU3038,12
OTU1802,12
OTU1373,12
OTU4308,12
OTU2827,12
OTU1334,12
OTU607,12
OTU3395,12
OTU2595,12
OTU74,12
OTU2514,12
OTU1483,12
OTU3975,12
OTU1596,12
OTU2019,12
OTU3043,12
OTU1659,12
OTU3297,12
OTU4396,12
OTU39,12
OTU979,12
OTU1030,12
OTU1076,12
OTU4633,12
OTU2030,12
OTU499,12
OTU2028,12
OTU1856,13
OTU4271,13
OTU5027,14
OTU1441,15
OTU232,15
OTU552,15
OTU2000,15
OTU2891,15
OTU3976,15
OTU198,15
OTU1303,15
OTU100,15
OTU2389,16
OTU2324,16
OTU3086,16
OTU943,16
OTU807,16
OTU2285,17
OTU3630,17
OTU3855,17
OTU2286,17
OTU4646,17
OTU4176,17
OTU3959,18
OTU1756,18
OTU4044,18
OTU1564,18
OTU1324,18
OTU1039,18
OTU4067,18
OTU1615,18
OTU3148,18
OTU1302,18
OTU733,18
OTU659,18
OTU1629,19
OTU827,20
OTU573,21
OTU1426,22
OTU838,23
OTU1627,24
OTU4381,25
OTU3835,26
OTU2833,26
OTU2569,26
OTU1682,26
OTU2789,26
OTU4805,26
OTU1067,26
OTU444,26
OTU3018,26
OTU2267,26
OTU3854,26
OTU2608,26
OTU903,26
OTU3782,26
OTU1621,26
OTU2306,27
OTU4004,27
OTU4196,27
OTU4983,27
OTU2248,27
OTU3509,27
OTU4086,27
OTU4200,28
OTU3149,28
OTU3839,28
OTU4607,28
OTU4597,28
OTU3676,28
OTU1516,28
OTU1608,28
OTU4106,29
OTU1,30
OTU870,30
OTU4195,31
OTU5043,32
OTU4397,33
OTU1750,34
OTU1017,35
OTU2158,35
OTU2075,35
OTU5185,35
OTU4081,36
OTU1695,37
OTU131,37
OTU1415,37
OTU1398,37
OTU951,38
OTU2711,38
OTU4,38
OTU1114,38
OTU3078,38
OTU693,38
OTU2489,39
OTU3295,39
OTU218,39
OTU114,40
OTU1739,40
OTU1396,40
OTU242,40
OTU202,40
OTU4230,40
OTU2962,40
OTU4774,40
OTU1896,40
OTU4334,40
OTU1469,40
OTU2035,40
OTU1162,40
OTU1269,41
OTU54,42
OTU1661,42
OTU4121,42
OTU3099,42
OTU2333,42
OTU302,43
OTU1123,43
OTU4425,43
OTU2850,44
OTU4530,45
OTU3454,45
OTU2770,45
OTU4625,45
OTU1389,45
OTU2247,45
OTU1766,45
OTU1434,45
OTU930,45
OTU32,45
OTU55,45
OTU2128,45
OTU4434,45
OTU841,45
OTU381,45
OTU235,45
OTU443,45
OTU634,45
OTU1052,45
OTU2570,45
OTU3237,45
OTU2892,45
OTU1378,45
OTU1458,45
OTU2583,45
OTU4598,45
OTU161,46
OTU349,46
OTU3437,46
OTU2546,46
OTU673,46
OTU2024,47
OTU124,48
OTU3205,49
OTU4556,50
OTU4775,51
OTU3214,52
OTU694,52
OTU2404,52
OTU990,52
OTU2639,52
OTU3759,52
OTU4614,52
OTU478,52
OTU970,52
OTU996,52
OTU635,52
OTU4569,52
OTU4649,52
OTU2270,52
OTU2114,52
OTU4789,52
OTU746,52
OTU1751,52
OTU1858,52
OTU704,52
OTU3188,52
OTU1236,52
OTU1958,52
OTU1809,52
OTU3562,52
OTU964,52
OTU2989,52
OTU3354,52
OTU3498,52
OTU2947,52
OTU5271,52
OTU2451,52
OTU3391,52
OTU1453,52
OTU2901,52
OTU848,52
OTU554,52
OTU397,52
OTU1874,52
OTU2713,52
OTU2413,52
OTU3345,52
OTU823,52
OTU3203,52
OTU3433,53
OTU8,54
OTU319,54
OTU240,54
OTU265,55
OTU5093,56
