otu,delim
OTU3049,1
OTU1379,2
OTU837,2
OTU2561,2
OTU2287,3
OTU2439,4
OTU3742,4
OTU3417,4
OTU665,4
OTU383,4
OTU1457,4
OTU1572,4
OTU3910,4
OTU267,4
OTU1859,4
OTU87,4
OTU968,4
OTU457,4
OTU4458,4
OTU1228,4
OTU3695,4
OTU80,4
OTU3552,4
OTU3989,5
OTU25,6
OTU2500,7
OTU4473,8
OTU3632,9
OTU2314,10
OTU777,10
OTU4363,10
OTU5022,10
OTU338,11
OTU14,11
OTU318,12
OTU1996,13
OTU3275,14
OTU2998,15
OTU1408,16
OTU1250,16
OTU2233,16
OTU5216,16
OTU380,17
OTU260,17
OTU1976,18
OTU3837,19
OTU1965,20
OTU4403,21
OTU1251,22
OTU804,22
OTU1071,23
OTU3876,23
OTU2146,24
OTU2857,25
OTU2260,26
OTU341,26
OTU2511,27
OTU1774,27
OTU2289,27
OTU4210,27
OTU3032,27
OTU1741,27
OTU1072,28
OTU832,29
OTU5014,30
OTU794,31
OTU779,32
OTU2448,33
OTU4220,34
OTU4463,35
OTU2371,36
OTU3935,37
OTU3585,37
OTU3768,37
OTU4077,37
OTU2980,37
OTU4001,38
OTU2393,39
OTU702,40
OTU1401,41
OTU1227,41
OTU732,41
OTU1732,42
OTU2587,43
OTU3648,44
OTU2783,45
OTU1285,45
OTU982,46
OTU3591,47
OTU5267,48
OTU1118,49
OTU2232,49
OTU2076,49
OTU1194,49
OTU3915,49
OTU1922,49
OTU2082,50
OTU623,51
OTU2450,51
OTU3693,52
OTU626,53
OTU2648,53
OTU1176,53
OTU610,54
OTU400,54
OTU213,54
OTU1169,54
OTU706,54
OTU1223,54
OTU2141,55
OTU4435,55
OTU1863,56
OTU4532,57
OTU4953,57
OTU2281,58
OTU3206,59
OTU5222,60
OTU4116,61
OTU3827,61
OTU1387,61
OTU1962,62
OTU2476,62
OTU1231,62
OTU759,62
OTU1623,62
OTU1029,62
OTU1312,62
OTU4494,63
OTU2548,63
OTU1479,63
OTU1938,63
OTU766,64
OTU2234,65
OTU2723,65
OTU1173,65
OTU1642,65
OTU1982,65
OTU5207,66
OTU3129,66
OTU4269,67
OTU2434,68
OTU1715,69
OTU2867,69
OTU1366,69
OTU4526,69
OTU1023,69
OTU3881,69
OTU2552,69
OTU467,69
OTU4393,69
OTU5047,69
OTU2429,69
OTU357,69
OTU2339,69
OTU580,69
OTU1935,69
OTU1584,69
OTU1190,69
OTU1911,69
OTU537,69
OTU955,69
OTU221,69
OTU826,69
OTU1078,69
OTU1355,69
OTU1198,69
OTU2221,69
OTU613,69
OTU431,69
OTU471,69
OTU2999,69
OTU4459,69
OTU409,69
OTU664,69
OTU3055,69
OTU584,69
OTU1712,69
OTU2222,69
OTU1219,69
OTU34,69
OTU747,69
OTU736,69
OTU3541,69
OTU1969,69
OTU1063,69
OTU1125,69
OTU436,69
OTU809,69
OTU905,69
OTU730,69
OTU901,69
OTU327,69
OTU1792,70
OTU203,71
OTU1248,71
OTU3039,71
OTU758,71
OTU1798,71
OTU2407,72
OTU1471,72
OTU1027,72
OTU3156,72
OTU3973,72
OTU4892,73
OTU2142,73
OTU5049,73
OTU2912,73
OTU2983,74
OTU3809,75
OTU2469,76
OTU3804,76
OTU3825,76
OTU2858,76
OTU2212,76
OTU1374,77
OTU4117,78
OTU359,79
OTU654,79
OTU1341,79
OTU2578,80
OTU3011,80
OTU104,80
OTU4991,80
OTU925,81
OTU93,82
OTU612,82
OTU2373,83
OTU4499,84
OTU709,85
OTU2563,86
OTU1128,86
OTU1481,86
OTU3726,87
OTU1885,88
OTU525,88
OTU2379,88
OTU3565,88
OTU2053,89
OTU2577,89
OTU4654,90
OTU1684,90
OTU5231,90
OTU1907,91
OTU3677,92
OTU4898,92
OTU4163,93
OTU2782,93
OTU5018,94
OTU5114,94
OTU3143,94
OTU3060,94
OTU2562,95
OTU4094,95
OTU2438,96
OTU4382,97
OTU1022,97
OTU3662,97
OTU668,98
OTU4568,99
OTU3826,100
OTU1489,101
OTU4272,102
OTU2507,103
OTU2556,103
OTU2966,103
OTU780,104
OTU2709,105
OTU800,106
OTU4124,106
OTU4874,106
OTU1773,106
OTU4712,107
OTU1990,108
OTU2197,109
OTU3423,109
OTU3466,109
OTU2346,109
OTU2414,109
OTU1152,110
OTU1947,110
OTU897,111
OTU332,111
OTU2792,112
OTU3988,112
OTU3299,112
OTU2444,112
OTU1733,112
OTU3994,113
OTU3381,113
OTU3681,113
OTU4320,113
OTU4096,113
OTU4817,114
OTU1745,115
OTU2515,115
OTU689,115
OTU1749,115
OTU3312,115
OTU1403,116
OTU1721,116
OTU1455,117
OTU4090,118
OTU2272,118
OTU3594,118
OTU2943,118
OTU3432,118
OTU4007,119
OTU3302,120
OTU4671,121
OTU369,121
OTU4170,121
OTU1098,121
OTU276,121
OTU596,121
OTU1243,121
OTU2637,122
OTU2364,122
OTU3729,122
OTU4130,122
OTU3848,122
OTU2018,122
OTU3425,122
OTU2150,123
OTU4783,124
OTU606,124
OTU4231,124
OTU2993,124
OTU1163,124
OTU2027,124
OTU5056,125
OTU4022,125
OTU3624,126
OTU3964,127
OTU4083,128
OTU960,129
OTU1277,129
OTU3808,130
OTU4578,131
OTU317,132
OTU4672,133
OTU3724,134
OTU592,134
OTU2069,135
OTU1736,135
OTU1220,135
OTU386,135
OTU1640,135
OTU3393,135
OTU2004,136
OTU3160,137
OTU1225,138
OTU3505,138
OTU1683,138
OTU123,139
OTU713,140
OTU2440,141
OTU4215,141
OTU2698,141
OTU3554,141
OTU638,141
OTU4510,141
OTU2121,142
OTU4752,143
OTU4512,143
OTU4194,144
OTU5099,145
OTU1046,146
OTU1543,146
OTU4408,146
OTU3292,146
OTU3402,146
OTU775,146
OTU1542,146
OTU2032,147
OTU983,147
OTU1988,147
OTU1620,148
OTU4718,148
OTU1835,149
OTU3252,149
OTU3145,149
OTU5008,149
OTU3738,149
OTU2396,149
OTU2716,149
