otu,delim
OTU1737,1
OTU4604,2
OTU1822,3
OTU812,4
OTU35,5
OTU1598,6
OTU1795,7
OTU4762,8
OTU2201,9
OTU1372,10
OTU1411,11
OTU184,12
OTU2994,13
OTU3383,14
OTU1283,15
OTU3177,16
OTU3488,16
OTU4658,17
OTU5249,18
OTU3579,18
OTU1652,18
OTU3606,19
OTU3673,19
OTU69,20
OTU4431,21
OTU4580,22
OTU2896,23
OTU797,24
OTU774,25
OTU5182,26
OTU2868,27
OTU2198,28
OTU2348,29
OTU4545,30
OTU4624,30
OTU2162,31
OTU863,32
OTU1630,33
OTU3066,34
OTU1991,35
OTU4737,35
OTU1195,35
OTU639,35
OTU2499,36
OTU31,37
OTU2003,38
OTU3322,39
OTU1393,40
OTU469,41
OTU1706,42
OTU2295,43
OTU438,43
OTU784,44
OTU3877,45
OTU136,46
OTU4437,47
OTU2670,48
OTU1783,49
OTU4138,49
OTU2105,50
OTU116,51
OTU918,52
OTU454,52
OTU1262,52
OTU204,52
OTU4411,53
OTU1892,53
OTU5004,54
OTU1485,55
OTU1713,56
OTU3519,56
OTU2530,56
OTU3104,57
OTU2224,58
OTU4806,58
OTU3966,58
OTU1901,58
OTU2930,59
OTU4826,59
OTU3173,59
OTU2365,59
OTU2550,59
OTU2298,60
OTU1257,61
OTU3281,62
OTU3990,63
OTU4383,64
OTU2254,65
OTU493,65
OTU3397,66
OTU3321,67
OTU4626,68
OTU4390,69
OTU731,69
OTU41,70
OTU2799,71
OTU3903,72
OTU5000,73
OTU1634,74
OTU1307,75
OTU564,75
OTU517,76
OTU4770,76
OTU1932,76
OTU1200,76
OTU1565,76
OTU2071,76
OTU3899,76
OTU723,76
OTU1215,77
OTU1058,78
OTU674,78
OTU3803,79
OTU3692,79
OTU1738,80
OTU1009,81
OTU3151,82
OTU3714,83
OTU3438,84
OTU3230,84
OTU143,85
OTU914,85
OTU466,86
OTU2968,87
OTU1533,87
OTU1800,88
OTU4821,89
OTU5157,90
OTU1611,91
OTU4523,92
OTU4839,93
OTU415,94
OTU4480,94
OTU2849,95
OTU586,95
OTU1167,96
OTU2144,97
OTU836,98
OTU3187,99
OTU4401,100
OTU4797,100
OTU3169,100
OTU728,100
OTU477,100
OTU2831,101
OTU4739,102
OTU5257,103
OTU715,103
OTU2773,103
OTU1638,103
OTU594,103
OTU1116,103
OTU323,103
OTU419,103
OTU2931,104
OTU913,104
OTU2103,105
OTU3112,106
OTU4309,107
OTU4088,107
OTU3622,107
OTU3462,108
OTU1803,108
OTU1418,108
OTU2231,109
OTU347,110
OTU997,110
OTU1202,110
OTU238,110
OTU995,110
OTU862,111
OTU741,111
OTU2828,112
OTU1217,112
OTU4208,113
OTU3014,114
OTU3305,115
OTU1281,116
OTU1546,117
OTU2255,118
OTU1724,119
OTU1723,119
OTU1115,120
OTU4769,120
OTU5168,121
OTU2870,122
OTU1824,123
OTU2095,124
OTU4537,124
OTU173,124
OTU147,124
OTU37,124
OTU84,124
OTU322,124
OTU3844,124
OTU239,124
OTU3051,124
OTU1402,125
OTU652,125
OTU1554,126
OTU628,127
OTU2326,128
OTU1747,129
OTU2152,130
OTU2956,130
OTU550,131
OTU4593,132
OTU2866,132
OTU4787,133
OTU2265,134
OTU4695,134
OTU2621,135
OTU2125,135
OTU63,135
OTU620,136
OTU340,136
OTU243,136
OTU1940,136
OTU2984,136
OTU761,136
OTU2509,136
OTU387,136
OTU157,136
OTU597,136
OTU44,136
OTU62,136
OTU388,136
OTU546,136
OTU937,136
OTU692,136
OTU3107,136
OTU223,136
OTU277,136
OTU5110,136
OTU3559,136
OTU112,136
OTU2478,136
OTU1823,136
OTU492,136
OTU2625,136
OTU703,136
OTU337,136
OTU1213,137
OTU196,137
OTU1544,137
OTU980,137
OTU368,137
OTU3740,138
OTU2420,139
OTU4277,139
OTU2467,139
OTU889,139
OTU4104,140
OTU1450,141
OTU2184,141
OTU490,141
OTU750,142
OTU1211,143
OTU86,143
OTU577,143
OTU1464,143
OTU1607,143
OTU542,143
OTU109,143
OTU1079,143
OTU1222,144
OTU3569,145
OTU843,145
OTU2243,145
OTU1528,146
OTU910,147
OTU3460,148
OTU1518,148
OTU1815,149
OTU1149,150
OTU2408,150
OTU374,150
OTU1077,150
OTU1740,150
OTU256,150
OTU2172,150
OTU4858,150
OTU3134,150
OTU476,150
OTU727,150
OTU1531,151
OTU1931,151
OTU4330,152
OTU1456,152
OTU1271,152
OTU294,152
OTU1290,152
OTU3176,152
OTU2653,153
OTU5044,154
OTU164,155
OTU1941,156
OTU1545,157
OTU585,157
OTU3780,157
OTU2751,157
OTU653,158
OTU4536,158
OTU2077,159
OTU772,160
OTU5046,161
OTU3342,162
OTU533,163
OTU1201,164
OTU1406,165
OTU20,165
OTU435,166
OTU1151,167
OTU312,167
OTU874,167
OTU1612,167
OTU1318,167
OTU579,167
OTU868,167
OTU1837,168
OTU3308,169
OTU2525,169
OTU2454,169
OTU3620,169
OTU1499,170
OTU2381,171
OTU787,171
OTU2008,171
OTU2752,171
OTU2485,171
OTU590,171
OTU844,172
OTU2159,173
OTU840,174
OTU1513,175
OTU1957,176
OTU4475,177
OTU1172,178
OTU992,178
OTU1703,178
OTU2626,178
OTU4111,179
OTU3161,180
OTU4788,181
OTU1846,182
OTU4201,183
OTU4302,183
OTU1827,184
OTU2982,185
OTU1191,185
OTU1343,186
OTU4075,186
OTU4352,186
OTU739,187
OTU1573,187
OTU2736,187
OTU4713,187
OTU4820,188
OTU1122,189
OTU3682,190
OTU2620,191
OTU2516,192
OTU2660,192
OTU722,193
OTU1121,193
OTU3226,193
OTU1004,194
OTU4229,194
OTU5193,194
OTU4452,194
OTU2056,194
OTU355,194
OTU367,194
OTU2978,194
OTU4341,195
OTU2684,196
OTU1310,196
OTU2493,196
OTU4131,196
OTU2188,196
OTU3158,196
OTU4339,196
OTU2793,196
OTU3468,197
OTU1632,198
OTU1998,198
OTU2735,198
OTU4186,199
OTU3248,199
OTU3853,199
OTU5070,200
OTU669,201
OTU1893,202
OTU4841,202
OTU4631,203
OTU2658,204
OTU177,205
OTU1159,206
OTU1126,207
OTU4819,208
OTU3091,209
OTU2459,209
OTU3344,210
OTU2712,210
OTU2788,210
OTU2101,210
OTU46,210
OTU40,210
OTU191,210
OTU254,210
OTU705,210
OTU2435,210
OTU18,210
OTU97,210
OTU144,210
OTU3329,210
OTU1995,210
OTU1622,211
OTU1165,212
OTU947,213
OTU945,213
OTU935,213
OTU4358,213
OTU2363,214
OTU2006,214
OTU3278,215
OTU828,216
OTU269,216
OTU776,217
OTU2741,217
OTU4648,218
OTU527,219
OTU3912,220
OTU1889,220
OTU1676,220
OTU3814,220
OTU452,220
OTU3480,220
OTU106,221
OTU2094,221
OTU3908,222
OTU4187,223
OTU2963,224
OTU1945,224
OTU637,224
OTU2322,225
OTU1347,225
OTU2755,225
OTU697,225
OTU2764,225
OTU2403,225
OTU1203,225
OTU257,225
OTU393,225
OTU2826,226
OTU973,226
OTU1142,226
OTU1360,226
OTU1501,226
OTU1913,227
OTU2073,228
OTU3124,228
OTU567,229
OTU1781,229
OTU2290,229
OTU4840,229
OTU932,229
OTU401,229
OTU1138,229
OTU4141,229
OTU2470,229
OTU4273,229
OTU1145,229
OTU2632,229
OTU2135,229
OTU5075,230
OTU2093,231
OTU2199,231
OTU805,232
OTU1989,232
OTU1595,233
OTU371,233
OTU1897,233
OTU480,234
OTU1568,234
OTU225,235
OTU209,235
OTU1207,236
OTU307,237
OTU956,238
OTU4355,239
OTU2193,239
OTU1840,240
OTU4471,241
OTU845,242
OTU219,242
OTU1785,242
OTU633,242
OTU888,242
OTU1576,242
OTU3731,243
OTU2568,243
OTU3251,244
OTU4482,245
OTU619,246
OTU447,247
OTU1049,248
OTU3635,248
OTU3887,249
OTU1910,250
OTU4348,251
OTU4025,251
OTU3387,252
OTU4070,253
OTU2805,253
OTU3318,254
OTU1514,255
OTU3233,255
OTU2760,256
OTU3753,257
OTU4579,258
OTU439,258
OTU379,259
OTU481,259
OTU2098,259
OTU2100,259
OTU3532,259
OTU2453,259
OTU2042,259
OTU2416,259
OTU502,260
OTU3453,261
OTU4449,261
OTU2779,262
OTU320,262
OTU309,262
OTU1978,263
OTU361,264
OTU1183,264
OTU390,265
OTU1315,265
OTU2638,265
OTU3126,265
OTU42,265
OTU852,265
OTU482,265
OTU289,265
OTU77,265
OTU846,265
OTU765,265
OTU165,265
OTU122,265
OTU720,265
OTU2312,265
OTU489,265
OTU814,265
OTU3353,266
OTU4761,267
OTU4335,268
OTU4003,269
OTU3725,270
OTU3500,271
OTU1786,271
OTU2697,271
OTU3685,271
OTU2058,271
OTU2742,272
OTU1610,273
OTU1997,274
OTU3995,274
OTU1813,275
OTU565,275
OTU538,276
OTU2081,277
OTU1930,277
OTU1980,277
OTU1084,278
OTU3261,279
OTU4476,279
OTU79,280
OTU4807,280
OTU2614,280
OTU2382,281
OTU2283,282
OTU4978,282
OTU3062,282
OTU2250,282
OTU4019,282
OTU2398,282
OTU5286,282
OTU4830,282
OTU3807,282
OTU2645,282
OTU3131,282
OTU4014,283
OTU5081,284
OTU3138,285
OTU3982,285
OTU3355,285
OTU4609,285
OTU1461,286
OTU3813,286
OTU890,286
OTU972,286
OTU1093,286
OTU1032,286
OTU2640,286
OTU3328,286
OTU1139,287
OTU2430,288
OTU534,289
OTU72,289
OTU4061,290
