otu,delim
OTU1255,1
OTU2242,2
OTU4502,2
OTU2527,3
OTU1891,4
OTU1247,5
OTU1963,6
OTU2845,7
OTU2877,8
OTU617,8
OTU2437,9
OTU2630,10
OTU3170,10
OTU4535,11
OTU4963,12
OTU4513,13
OTU4877,14
OTU1866,14
OTU802,14
OTU3589,15
OTU526,16
OTU4071,17
OTU4618,18
OTU1422,19
OTU2607,20
OTU4005,20
OTU2701,21
OTU111,22
OTU1423,23
OTU1743,24
OTU4573,25
OTU2745,26
OTU1428,27
OTU1523,27
OTU3094,28
OTU2445,29
OTU2861,29
OTU630,29
OTU4519,29
OTU2903,30
OTU3720,31
OTU4669,32
OTU2581,33
OTU3331,33
OTU2939,33
OTU2395,34
OTU3403,35
OTU2535,36
OTU589,36
OTU1468,36
OTU3337,36
OTU3571,36
OTU988,36
OTU3866,36
OTU3704,36
OTU2756,36
OTU3936,37
OTU5145,37
OTU1124,37
OTU3683,38
OTU708,39
OTU2821,39
OTU1647,39
OTU608,39
OTU2277,39
OTU2268,40
OTU966,41
OTU4981,42
OTU516,43
OTU3464,44
OTU4617,44
OTU3245,44
OTU3254,45
OTU197,45
OTU4534,46
OTU3298,46
OTU2492,46
OTU2724,46
OTU2167,47
OTU2661,48
OTU4823,48
OTU1788,48
OTU858,48
OTU1037,49
OTU751,50
OTU1113,50
OTU740,50
OTU1294,50
OTU448,51
OTU3122,51
OTU1085,51
OTU3958,51
OTU2047,51
OTU3769,51
OTU3130,51
OTU4489,51
OTU2781,52
OTU2332,52
OTU2547,52
OTU3787,52
OTU4224,53
OTU473,54
OTU1239,55
OTU2210,56
OTU1692,57
OTU2179,58
OTU422,59
OTU3615,59
OTU411,60
OTU1578,61
OTU3463,62
OTU3228,63
OTU987,64
OTU5130,64
OTU2544,64
OTU1449,64
OTU1168,64
OTU4359,65
OTU115,65
OTU529,65
OTU1830,66
OTU907,67
OTU569,68
OTU1033,68
OTU2424,68
OTU2749,68
OTU346,68
OTU1272,68
OTU2619,69
OTU178,70
OTU4013,71
OTU824,72
OTU1849,73
OTU4504,74
OTU1171,75
OTU4223,76
OTU3125,77
OTU4076,78
OTU3414,79
OTU1235,80
OTU1233,81
OTU2969,82
OTU2436,82
OTU2838,83
OTU3797,83
OTU4465,83
OTU1880,84
OTU2187,84
OTU1716,84
OTU2280,84
OTU1325,85
OTU1606,86
OTU227,86
OTU1718,87
OTU3875,88
OTU4190,88
OTU1062,89
OTU742,90
OTU3269,90
OTU1624,91
OTU5017,91
OTU3093,91
OTU1838,91
OTU1731,91
OTU2230,91
OTU1894,91
OTU3111,91
OTU1775,91
OTU3244,91
OTU3789,91
OTU4456,91
OTU4651,91
OTU3291,92
OTU2025,93
OTU1812,94
OTU3027,94
OTU2205,95
OTU2812,95
OTU1580,96
OTU2722,97
OTU1883,97
OTU4644,97
OTU3721,97
OTU1814,98
OTU904,98
OTU3836,98
OTU474,99
OTU315,100
OTU2941,101
OTU3993,102
OTU331,103
OTU2131,104
OTU1561,105
OTU3365,106
OTU1556,107
OTU1579,107
OTU1000,108
OTU3042,108
OTU3360,109
OTU461,109
OTU2120,109
OTU4677,110
OTU2906,111
OTU4637,111
OTU4346,111
OTU1436,112
OTU771,113
OTU2884,114
OTU1491,115
OTU1443,115
OTU3332,116
OTU1053,117
OTU2586,118
OTU3949,119
OTU1474,119
OTU850,119
OTU1386,120
OTU4490,121
OTU4221,121
OTU1496,122
OTU3424,123
OTU711,124
OTU1245,124
OTU560,124
OTU1206,124
OTU2766,125
OTU3452,125
OTU1101,125
OTU830,125
OTU3117,125
OTU1729,126
OTU424,126
OTU2012,126
OTU2067,126
OTU2097,126
OTU531,126
OTU1836,126
OTU1888,126
OTU5104,127
OTU2386,128
OTU2706,128
OTU3712,129
OTU4244,130
OTU1993,131
OTU2875,131
OTU2241,131
OTU1136,132
OTU4802,133
OTU1702,134
OTU860,134
OTU3144,135
OTU1429,135
OTU3142,136
OTU624,136
OTU3416,136
OTU2165,136
OTU2432,136
OTU5226,136
OTU754,136
OTU5308,136
OTU1538,136
OTU2013,137
OTU4254,138
OTU2410,138
OTU3943,138
OTU3555,139
OTU879,139
OTU4312,139
OTU672,139
OTU1106,139
OTU2014,139
OTU496,140
OTU1626,140
OTU1954,140
OTU1166,140
OTU5148,141
OTU4638,142
OTU1536,143
OTU2015,144
OTU1337,144
OTU2096,144
OTU2057,144
OTU3150,145
OTU1807,146
OTU4042,147
OTU3198,148
OTU1013,149
OTU3761,150
OTU2680,151
OTU2253,152
