otu,delim
OTU3775,1
OTU3516,1
OTU2115,2
OTU3241,3
OTU5040,4
OTU2659,5
OTU4018,6
OTU4487,7
OTU3840,7
OTU4108,7
OTU3373,8
OTU4619,9
OTU3991,10
OTU3089,10
OTU803,11
OTU5237,11
OTU3262,12
OTU2740,13
OTU2545,13
OTU4432,14
OTU1592,15
OTU3079,16
OTU4161,17
OTU29,18
OTU94,18
OTU768,18
OTU76,19
OTU4378,20
OTU2486,20
OTU4679,20
OTU3917,20
OTU4168,21
OTU1026,22
OTU3879,22
OTU4342,22
OTU3918,22
OTU601,23
OTU4450,23
OTU2156,23
OTU2873,24
OTU1090,24
OTU1326,25
OTU1486,25
OTU4909,26
OTU3715,27
OTU2708,28
OTU2641,29
OTU4615,29
OTU4300,29
OTU5057,29
OTU3411,29
OTU4310,29
OTU1111,30
OTU4973,30
OTU2664,30
OTU2605,30
OTU3557,30
OTU4303,30
OTU2928,30
OTU3811,30
OTU4102,30
OTU1653,31
OTU2964,32
OTU3356,33
OTU1662,34
OTU1024,35
OTU2693,35
OTU872,35
OTU2273,35
OTU4766,35
OTU528,35
OTU1020,35
OTU182,35
OTU330,35
OTU1987,35
OTU98,36
OTU15,36
OTU205,36
OTU66,36
OTU506,37
OTU1869,38
OTU851,38
OTU200,38
OTU813,38
OTU488,38
OTU876,38
OTU2054,38
OTU1725,38
OTU769,38
OTU2316,38
OTU1506,38
OTU4419,38
OTU1618,39
OTU3116,39
OTU4845,39
OTU4872,40
OTU4171,41
OTU4878,42
OTU2480,43
OTU3888,44
OTU3071,44
OTU2361,44
OTU2133,44
OTU815,45
OTU3434,46
OTU3413,46
OTU4824,46
OTU2841,47
OTU724,47
OTU3159,47
OTU4627,47
OTU1527,47
OTU2341,47
OTU440,48
OTU1100,48
OTU2001,48
OTU2960,48
OTU3052,48
OTU511,48
OTU2296,48
OTU2362,49
OTU410,50
OTU1855,51
OTU2262,52
OTU512,52
OTU264,53
OTU867,54
OTU2422,55
OTU1593,55
OTU2039,55
OTU681,56
OTU886,56
OTU2358,56
OTU3977,56
OTU714,56
OTU3925,56
OTU5194,56
OTU3997,56
OTU1323,56
OTU382,57
OTU2046,58
OTU2431,58
OTU4384,59
OTU3596,60
OTU2213,61
OTU1700,61
OTU3547,62
OTU578,63
OTU4835,63
OTU2139,63
OTU296,63
OTU135,63
OTU2457,63
OTU4590,63
OTU1175,63
OTU2177,64
OTU1639,64
OTU595,64
OTU446,64
OTU1390,64
OTU1902,64
OTU1862,64
OTU1637,64
OTU1912,64
OTU1193,64
OTU3798,64
OTU3106,64
OTU1177,64
OTU4313,64
OTU434,65
OTU425,65
OTU345,65
OTU4511,66
OTU2714,66
OTU4722,66
OTU2644,66
OTU2383,67
OTU3852,68
OTU286,69
OTU1492,70
OTU2303,70
OTU3005,71
OTU3218,71
OTU2970,71
OTU2945,71
OTU2705,71
OTU1014,71
OTU220,72
OTU877,72
OTU2559,72
OTU734,72
OTU825,72
OTU810,72
OTU894,72
OTU568,72
OTU3784,72
OTU2337,72
OTU3582,72
OTU59,72
OTU755,72
OTU2541,73
OTU2194,73
OTU4605,73
OTU818,73
OTU1900,73
OTU81,74
OTU1320,74
OTU2455,74
OTU1400,74
OTU308,74
OTU417,74
OTU882,74
OTU790,74
OTU1586,74
OTU1735,74
OTU834,74
OTU1763,74
OTU2370,74
OTU553,74
OTU2654,74
OTU799,74
OTU3339,74
OTU2311,74
OTU140,74
OTU1589,74
OTU3064,74
OTU1135,74
OTU821,74
OTU133,74
OTU4485,75
OTU4274,76
OTU738,77
OTU2129,77
OTU2820,78
OTU4468,79
OTU3286,79
OTU5028,80
OTU3914,80
OTU4144,80
OTU5141,80
OTU5181,80
OTU3873,80
OTU4392,80
OTU3036,81
OTU1986,82
OTU2937,83
OTU967,83
OTU334,83
OTU2113,83
OTU699,83
OTU1787,83
OTU3802,83
OTU445,84
OTU2950,85
OTU4120,86
OTU2501,87
OTU2087,87
OTU2421,88
OTU1981,88
OTU170,88
OTU1590,88
OTU460,89
OTU4318,90
OTU2089,91
OTU2787,92
OTU2774,93
OTU5062,93
OTU1710,94
OTU2692,95
OTU1394,96
OTU700,97
OTU871,97
OTU285,97
OTU2336,97
OTU3741,97
OTU364,97
OTU1860,97
OTU3420,97
OTU389,97
OTU295,98
OTU2628,98
OTU1567,98
OTU1259,98
OTU2855,98
OTU2591,98
OTU2090,98
OTU2733,99
OTU2170,99
OTU3479,99
