otu,delim
OTU3957,1
OTU4066,2
OTU3566,3
OTU139,4
OTU4173,5
OTU455,6
OTU1864,6
OTU991,7
OTU1717,8
OTU4581,8
OTU4496,9
OTU2204,10
OTU5125,11
OTU1266,12
OTU503,13
OTU716,14
OTU4051,14
OTU3638,15
OTU3259,16
OTU1107,17
OTU5239,18
OTU3073,18
OTU2318,18
OTU1419,18
OTU4238,18
OTU603,18
OTU2474,18
OTU2491,19
OTU427,19
OTU3764,19
OTU1762,19
OTU3200,20
OTU3220,21
OTU670,21
OTU1451,21
OTU1036,21
OTU1918,21
OTU2369,21
OTU3610,21
OTU1953,21
OTU2052,22
OTU2651,22
OTU4575,23
OTU4193,23
OTU969,24
OTU180,24
OTU591,24
OTU458,24
OTU599,24
OTU4645,24
OTU1448,24
OTU5072,24
OTU5031,24
OTU1025,25
OTU757,25
OTU1971,25
OTU977,25
OTU3003,26
OTU2809,27
OTU1069,27
OTU1537,27
OTU283,27
OTU187,28
OTU2399,28
OTU3162,28
OTU3128,28
OTU2780,28
OTU4160,28
OTU1044,28
OTU405,28
OTU2010,28
OTU1972,28
OTU3272,29
OTU5132,29
OTU1865,29
OTU3054,29
OTU290,30
OTU523,31
OTU1229,32
OTU1985,33
OTU472,33
OTU627,33
OTU1292,34
OTU866,34
OTU2512,35
OTU2151,35
OTU4122,35
OTU2068,35
OTU179,36
OTU555,36
OTU2473,37
OTU4275,37
OTU2904,37
OTU4226,37
OTU2997,38
OTU1119,39
OTU321,39
OTU2815,40
OTU2102,41
OTU3127,42
OTU4046,42
OTU4601,43
OTU4395,43
OTU998,43
OTU3357,44
OTU760,44
OTU2275,45
OTU559,46
OTU1414,46
OTU1086,47
OTU3476,47
OTU2800,47
OTU485,47
OTU1867,47
OTU1127,48
OTU2494,48
OTU4827,49
OTU1340,50
OTU819,50
OTU959,50
OTU2050,50
OTU4725,50
OTU1882,50
OTU801,50
OTU1503,50
OTU462,50
OTU3544,50
OTU993,51
OTU1120,51
OTU1278,51
OTU2699,52
OTU1487,52
OTU2038,52
OTU5198,52
OTU3694,53
OTU2394,54
OTU2257,54
OTU3034,54
OTU3736,55
OTU3539,55
OTU764,55
OTU2496,55
OTU3861,56
OTU1305,57
OTU3451,58
OTU2915,59
OTU16,60
OTU3040,61
OTU414,62
OTU5,62
OTU726,62
OTU101,62
OTU258,62
OTU350,62
OTU1657,62
OTU696,62
OTU416,62
OTU483,62
OTU4696,63
OTU3890,64
OTU3229,65
OTU3016,65
OTU562,65
OTU192,65
OTU166,66
OTU193,66
OTU33,66
OTU130,66
OTU1588,66
OTU88,66
OTU118,66
OTU721,66
OTU255,66
OTU498,66
OTU156,66
OTU152,66
OTU933,66
OTU1699,66
OTU12,66
OTU2589,67
OTU646,67
OTU2940,67
OTU4253,67
OTU2973,67
OTU4462,67
OTU3518,67
OTU4544,68
OTU2055,69
OTU2372,69
OTU5303,70
OTU5026,70
OTU4919,70
OTU5261,70
OTU3896,70
OTU2696,71
OTU420,71
OTU500,71
