site,flowAge,volcano,n_species,Species,chaoSitesum,chaoSitesum.se,chaoSmplsum,chaoSmplsum.se
flow1973,42,Kilauea,291,291,451.59313725490193,33.3137858301423,540.4083333333333,53.090999886415716
treePlanting,133,Kilauea,471,471,867.75,68.15933194544971,925.0202625570777,80.08060368596365
escape,300,Kilauea,656,656,1463.9820224719101,119.59108007973484,1567.1570247933882,135.10019762817407
kaiholenaYng,475,Mauna Loa,834,834,1391.218949044586,71.4580390327237,1498.7858823529411,89.37297630052934
thurston,575,Kilauea,853,853,1405.7705627705627,72.39423330126644,1457.7208473154362,80.42804159218493
olaa,7500,Mauna Loa,796,796,1455.504347826087,86.36337551813746,1526.3553628389154,97.80687702227007
alili,20500,Mauna Loa,968,968,1582.2948717948718,74.84420064947754,1658.6143279797125,86.10580172333344
kohalaOld,365000,Kohala,621,621,1040.1296641791046,59.5466592701076,1214.4067924528301,88.35360978389627
waikamoi,545000,Maui,846,846,1362.7832512315272,61.127573965353015,1469.1165644171779,79.88407254443256
kamakou,1400000,Molokai,1028,1028,1822.9556650246304,88.09888319603779,1947.1552841475573,107.3726651737879
kokee,4150000,Kauai,938,938,1677.7892287234042,85.12087582954817,1727.637250275287,97.30008367222192
